dataset,task_name,target,split,model,best_pca_dim,best_tabpfn_cap,best_mean_spearman
DMS,DMS,dms_KmCO2_logfit,pos_holdout,xgb,128,,0.18952868790451544
DMS,DMS,dms_KmCO2_logfit,pos_holdout,tabpfn,128,0.0,0.25729921664278627
DMS,DMS,dms_KmCO2_logfit,within_position,xgb,128,,0.4724558813155118
DMS,DMS,dms_KmCO2_logfit,within_position,tabpfn,128,0.0,0.5531423697572739
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,xgb,128,,0.6274819478239992
DMS,DMS,dms_VmaxRatio_logfit,pos_holdout,tabpfn,128,0.0,0.6508250516882621
DMS,DMS,dms_VmaxRatio_logfit,within_position,xgb,128,,0.8254683757258995
DMS,DMS,dms_VmaxRatio_logfit,within_position,tabpfn,128,0.0,0.8662017898772697
DMS,DMS,dms_enrichment_mean,pos_holdout,xgb,128,,0.6481334986982051
DMS,DMS,dms_enrichment_mean,pos_holdout,tabpfn,128,0.0,0.679363372573467
DMS,DMS,dms_enrichment_mean,within_position,xgb,128,,0.8371231292235467
DMS,DMS,dms_enrichment_mean,within_position,tabpfn,128,0.0,0.8841998909951956
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,xgb,128,,0.3313232125315165
HOFF,HOFF_delta_derived,hoff_delta_O2_minus_N2,depth_holdout,tabpfn,64,0.0,0.5157865060878497
HOFF,HOFF_delta_direct,hoff_delta_O2_minus_N2,depth_holdout,xgb,128,,0.3952651656696548
HOFF,HOFF_delta_direct,hoff_delta_O2_minus_N2,depth_holdout,tabpfn,128,5000.0,0.516557855243713
