strain,query,n_hits
Synechococcus elongatus PCC 7942,synechococcus elongatus pcc 7942,2
PCC7942,synechococcus elongatus pcc 7942,2
Cyanothece sp.  ATCC 51142,cyanothece sp. atcc 51142,0
Leptolyngbya sp.  Strain BL0902,leptolyngbya sp. strain bl0902,0
Anabaena ATCC 29413,anabaena atcc 29413,0
Anabaena sp. PCC 7120,anabaena sp. pcc 7120,0
PCC11801,synechococcus elongatus pcc 11801,0
Nostoc Punctiforme ATCC 29133,nostoc punctiforme atcc 29133,0
PCC6803,synechocystis sp. pcc 6803,0
PCC6301,synechococcus elongatus pcc 6301,0
PCC7002,synechococcus sp. pcc 7002,0
Synechococcus sp.  PCC 7002,synechococcus sp. pcc 7002,0
Synechocystis sp.  PCC 6803,synechocystis sp. pcc 6803,0
UTEX2973,synechococcus elongatus utex 2973,0
